"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,0,315943
2,"식도암",0,0,315943
3,"위암",0,0,315943
4,"결장암",0,0,315943
5,"직장암",0,0,315943
6,"간암",0,3,315943
7,"담낭암",0,0,315943
8,"췌장암",0,0,315943
9,"기관지암, 폐암",0,0,315943
10,"비강암, 후두암, 나머지암",0,3,315943
11,"뼈암",0,2,315943
12,"결합조직암",0,5,315943
13,"악성흑색종",0,0,315943
14,"비흑색종피부암(기저세포암)",0,0,315943
15,"비흑색종피부암(편평세포암)",0,0,315943
16,"유방암(여성)",0,0,315943
17,"유방암(남성)",0,0,315943
18,"난소암",0,0,315943
19,"난소암 외 여성생식기암",0,1,315943
20,"남성생식기암",0,0,315943
21,"방광암",0,1,315943
22,"신장암, 나머지 비뇨기계암",0,1,315943
23,"안암",0,7,315943
24,"뇌암, 신경계암",0,8,315943
25,"갑상선암",0,0,315943
26,"나머지 내분비선암",0,7,315943
27,"나머지암, 불분명한 암",0,7,315943
28,"림프종, 다발성골수종",0,6,315943
29,"백혈병(CLL 제외)",0,14,315943
30,"급성림프구성백혈병",0,7,315943
31,"급성골수성백혈병",0,5,315943
32,"만성골수성백혈병",0,1,315943
1,"구강암, 인두암",5,0,335517
2,"식도암",5,0,335517
3,"위암",5,0,335517
4,"결장암",5,0,335517
5,"직장암",5,0,335517
6,"간암",5,1,335517
7,"담낭암",5,0,335517
8,"췌장암",5,0,335517
9,"기관지암, 폐암",5,1,335517
10,"비강암, 후두암, 나머지암",5,0,335517
11,"뼈암",5,0,335517
12,"결합조직암",5,0,335517
13,"악성흑색종",5,0,335517
14,"비흑색종피부암(기저세포암)",5,0,335517
15,"비흑색종피부암(편평세포암)",5,0,335517
16,"유방암(여성)",5,0,335517
17,"유방암(남성)",5,0,335517
18,"난소암",5,2,335517
19,"난소암 외 여성생식기암",5,0,335517
20,"남성생식기암",5,0,335517
21,"방광암",5,0,335517
22,"신장암, 나머지 비뇨기계암",5,0,335517
23,"안암",5,0,335517
24,"뇌암, 신경계암",5,6,335517
25,"갑상선암",5,0,335517
26,"나머지 내분비선암",5,1,335517
27,"나머지암, 불분명한 암",5,0,335517
28,"림프종, 다발성골수종",5,5,335517
29,"백혈병(CLL 제외)",5,10,335517
30,"급성림프구성백혈병",5,8,335517
31,"급성골수성백혈병",5,1,335517
32,"만성골수성백혈병",5,0,335517
1,"구강암, 인두암",10,0,374079
2,"식도암",10,0,374079
3,"위암",10,0,374079
4,"결장암",10,0,374079
5,"직장암",10,0,374079
6,"간암",10,0,374079
7,"담낭암",10,0,374079
8,"췌장암",10,0,374079
9,"기관지암, 폐암",10,0,374079
10,"비강암, 후두암, 나머지암",10,0,374079
11,"뼈암",10,1,374079
12,"결합조직암",10,1,374079
13,"악성흑색종",10,0,374079
14,"비흑색종피부암(기저세포암)",10,1,374079
15,"비흑색종피부암(편평세포암)",10,1,374079
16,"유방암(여성)",10,0,374079
17,"유방암(남성)",10,0,374079
18,"난소암",10,2,374079
19,"난소암 외 여성생식기암",10,0,374079
20,"남성생식기암",10,0,374079
21,"방광암",10,0,374079
22,"신장암, 나머지 비뇨기계암",10,0,374079
23,"안암",10,0,374079
24,"뇌암, 신경계암",10,5,374079
25,"갑상선암",10,2,374079
26,"나머지 내분비선암",10,1,374079
27,"나머지암, 불분명한 암",10,0,374079
28,"림프종, 다발성골수종",10,6,374079
29,"백혈병(CLL 제외)",10,7,374079
30,"급성림프구성백혈병",10,6,374079
31,"급성골수성백혈병",10,0,374079
32,"만성골수성백혈병",10,0,374079
1,"구강암, 인두암",15,1,419386
2,"식도암",15,0,419386
3,"위암",15,0,419386
4,"결장암",15,0,419386
5,"직장암",15,1,419386
6,"간암",15,1,419386
7,"담낭암",15,1,419386
8,"췌장암",15,0,419386
9,"기관지암, 폐암",15,2,419386
10,"비강암, 후두암, 나머지암",15,3,419386
11,"뼈암",15,1,419386
12,"결합조직암",15,1,419386
13,"악성흑색종",15,0,419386
14,"비흑색종피부암(기저세포암)",15,1,419386
15,"비흑색종피부암(편평세포암)",15,1,419386
16,"유방암(여성)",15,0,419386
17,"유방암(남성)",15,0,419386
18,"난소암",15,7,419386
19,"난소암 외 여성생식기암",15,0,419386
20,"남성생식기암",15,0,419386
21,"방광암",15,0,419386
22,"신장암, 나머지 비뇨기계암",15,1,419386
23,"안암",15,0,419386
24,"뇌암, 신경계암",15,2,419386
25,"갑상선암",15,5,419386
26,"나머지 내분비선암",15,1,419386
27,"나머지암, 불분명한 암",15,3,419386
28,"림프종, 다발성골수종",15,1,419386
29,"백혈병(CLL 제외)",15,5,419386
30,"급성림프구성백혈병",15,1,419386
31,"급성골수성백혈병",15,4,419386
32,"만성골수성백혈병",15,0,419386
1,"구강암, 인두암",20,1,433690
2,"식도암",20,0,433690
3,"위암",20,3,433690
4,"결장암",20,2,433690
5,"직장암",20,1,433690
6,"간암",20,1,433690
7,"담낭암",20,0,433690
8,"췌장암",20,0,433690
9,"기관지암, 폐암",20,0,433690
10,"비강암, 후두암, 나머지암",20,1,433690
11,"뼈암",20,3,433690
12,"결합조직암",20,4,433690
13,"악성흑색종",20,0,433690
14,"비흑색종피부암(기저세포암)",20,1,433690
15,"비흑색종피부암(편평세포암)",20,1,433690
16,"유방암(여성)",20,7,433690
17,"유방암(남성)",20,0,433690
18,"난소암",20,23,433690
19,"난소암 외 여성생식기암",20,4,433690
20,"남성생식기암",20,0,433690
21,"방광암",20,0,433690
22,"신장암, 나머지 비뇨기계암",20,2,433690
23,"안암",20,0,433690
24,"뇌암, 신경계암",20,4,433690
25,"갑상선암",20,20,433690
26,"나머지 내분비선암",20,0,433690
27,"나머지암, 불분명한 암",20,3,433690
28,"림프종, 다발성골수종",20,6,433690
29,"백혈병(CLL 제외)",20,10,433690
30,"급성림프구성백혈병",20,3,433690
31,"급성골수성백혈병",20,5,433690
32,"만성골수성백혈병",20,1,433690
1,"구강암, 인두암",25,6,469851
2,"식도암",25,0,469851
3,"위암",25,12,469851
4,"결장암",25,3,469851
5,"직장암",25,5,469851
6,"간암",25,0,469851
7,"담낭암",25,1,469851
8,"췌장암",25,1,469851
9,"기관지암, 폐암",25,0,469851
10,"비강암, 후두암, 나머지암",25,1,469851
11,"뼈암",25,2,469851
12,"결합조직암",25,3,469851
13,"악성흑색종",25,1,469851
14,"비흑색종피부암(기저세포암)",25,4,469851
15,"비흑색종피부암(편평세포암)",25,4,469851
16,"유방암(여성)",25,18,469851
17,"유방암(남성)",25,0,469851
18,"난소암",25,14,469851
19,"난소암 외 여성생식기암",25,46,469851
20,"남성생식기암",25,0,469851
21,"방광암",25,0,469851
22,"신장암, 나머지 비뇨기계암",25,3,469851
23,"안암",25,0,469851
24,"뇌암, 신경계암",25,5,469851
25,"갑상선암",25,31,469851
26,"나머지 내분비선암",25,1,469851
27,"나머지암, 불분명한 암",25,7,469851
28,"림프종, 다발성골수종",25,5,469851
29,"백혈병(CLL 제외)",25,6,469851
30,"급성림프구성백혈병",25,2,469851
31,"급성골수성백혈병",25,1,469851
32,"만성골수성백혈병",25,0,469851
1,"구강암, 인두암",30,7,432051
2,"식도암",30,1,432051
3,"위암",30,24,432051
4,"결장암",30,15,432051
5,"직장암",30,6,432051
6,"간암",30,2,432051
7,"담낭암",30,1,432051
8,"췌장암",30,1,432051
9,"기관지암, 폐암",30,2,432051
10,"비강암, 후두암, 나머지암",30,2,432051
11,"뼈암",30,0,432051
12,"결합조직암",30,5,432051
13,"악성흑색종",30,1,432051
14,"비흑색종피부암(기저세포암)",30,5,432051
15,"비흑색종피부암(편평세포암)",30,5,432051
16,"유방암(여성)",30,86,432051
17,"유방암(남성)",30,0,432051
18,"난소암",30,16,432051
19,"난소암 외 여성생식기암",30,115,432051
20,"남성생식기암",30,0,432051
21,"방광암",30,0,432051
22,"신장암, 나머지 비뇨기계암",30,2,432051
23,"안암",30,0,432051
24,"뇌암, 신경계암",30,5,432051
25,"갑상선암",30,35,432051
26,"나머지 내분비선암",30,1,432051
27,"나머지암, 불분명한 암",30,1,432051
28,"림프종, 다발성골수종",30,7,432051
29,"백혈병(CLL 제외)",30,11,432051
30,"급성림프구성백혈병",30,2,432051
31,"급성골수성백혈병",30,7,432051
32,"만성골수성백혈병",30,0,432051
1,"구강암, 인두암",35,7,416384
2,"식도암",35,1,416384
3,"위암",35,61,416384
4,"결장암",35,22,416384
5,"직장암",35,15,416384
6,"간암",35,1,416384
7,"담낭암",35,3,416384
8,"췌장암",35,2,416384
9,"기관지암, 폐암",35,12,416384
10,"비강암, 후두암, 나머지암",35,3,416384
11,"뼈암",35,0,416384
12,"결합조직암",35,4,416384
13,"악성흑색종",35,7,416384
14,"비흑색종피부암(기저세포암)",35,8,416384
15,"비흑색종피부암(편평세포암)",35,8,416384
16,"유방암(여성)",35,197,416384
17,"유방암(남성)",35,0,416384
18,"난소암",35,31,416384
19,"난소암 외 여성생식기암",35,141,416384
20,"남성생식기암",35,0,416384
21,"방광암",35,6,416384
22,"신장암, 나머지 비뇨기계암",35,4,416384
23,"안암",35,0,416384
24,"뇌암, 신경계암",35,3,416384
25,"갑상선암",35,53,416384
26,"나머지 내분비선암",35,0,416384
27,"나머지암, 불분명한 암",35,6,416384
28,"림프종, 다발성골수종",35,14,416384
29,"백혈병(CLL 제외)",35,10,416384
30,"급성림프구성백혈병",35,0,416384
31,"급성골수성백혈병",35,4,416384
32,"만성골수성백혈병",35,3,416384
1,"구강암, 인두암",40,17,440764
2,"식도암",40,2,440764
3,"위암",40,96,440764
4,"결장암",40,44,440764
5,"직장암",40,35,440764
6,"간암",40,8,440764
7,"담낭암",40,12,440764
8,"췌장암",40,8,440764
9,"기관지암, 폐암",40,26,440764
10,"비강암, 후두암, 나머지암",40,2,440764
11,"뼈암",40,0,440764
12,"결합조직암",40,2,440764
13,"악성흑색종",40,6,440764
14,"비흑색종피부암(기저세포암)",40,7,440764
15,"비흑색종피부암(편평세포암)",40,7,440764
16,"유방암(여성)",40,374,440764
17,"유방암(남성)",40,0,440764
18,"난소암",40,44,440764
19,"난소암 외 여성생식기암",40,157,440764
20,"남성생식기암",40,0,440764
21,"방광암",40,7,440764
22,"신장암, 나머지 비뇨기계암",40,10,440764
23,"안암",40,0,440764
24,"뇌암, 신경계암",40,4,440764
25,"갑상선암",40,67,440764
26,"나머지 내분비선암",40,2,440764
27,"나머지암, 불분명한 암",40,7,440764
28,"림프종, 다발성골수종",40,24,440764
29,"백혈병(CLL 제외)",40,15,440764
30,"급성림프구성백혈병",40,0,440764
31,"급성골수성백혈병",40,8,440764
32,"만성골수성백혈병",40,1,440764
1,"구강암, 인두암",45,18,510089
2,"식도암",45,11,510089
3,"위암",45,192,510089
4,"결장암",45,104,510089
5,"직장암",45,69,510089
6,"간암",45,21,510089
7,"담낭암",45,16,510089
8,"췌장암",45,21,510089
9,"기관지암, 폐암",45,69,510089
10,"비강암, 후두암, 나머지암",45,7,510089
11,"뼈암",45,2,510089
12,"결합조직암",45,9,510089
13,"악성흑색종",45,4,510089
14,"비흑색종피부암(기저세포암)",45,25,510089
15,"비흑색종피부암(편평세포암)",45,25,510089
16,"유방암(여성)",45,669,510089
17,"유방암(남성)",45,0,510089
18,"난소암",45,91,510089
19,"난소암 외 여성생식기암",45,232,510089
20,"남성생식기암",45,0,510089
21,"방광암",45,5,510089
22,"신장암, 나머지 비뇨기계암",45,24,510089
23,"안암",45,1,510089
24,"뇌암, 신경계암",45,9,510089
