"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",1,0,0,2,3,4,16,32,29,73,137,229,368,331,300,248,155,135
2,"식도암",0,0,0,0,0,0,2,5,17,42,131,325,505,568,502,419,226,137
3,"위암",0,0,0,1,4,6,20,56,124,254,527,1235,2088,2349,2752,2781,2133,1443
4,"결장암",0,0,0,1,5,5,22,53,64,127,287,551,990,1145,1350,1373,1043,740
5,"직장암",0,0,0,0,0,6,14,37,83,140,268,535,786,770,777,682,462,296
6,"간암",5,2,0,0,1,0,10,21,48,107,237,510,829,876,1146,1201,853,547
7,"담낭암",0,0,0,0,0,0,0,3,11,26,35,102,164,202,283,399,387,358
8,"췌장암",0,0,0,0,0,3,4,10,8,51,101,215,405,396,480,514,432,341
9,"기관지암, 폐암",0,0,1,0,3,3,22,45,59,161,338,797,1522,1873,2125,2510,2206,1624
10,"비강암, 후두암, 나머지암",2,1,3,4,4,5,11,10,17,25,50,113,200,184,175,173,136,76
11,"뼈암",2,0,5,10,1,3,4,3,4,3,5,5,6,15,11,7,6,4
12,"결합조직암",1,2,1,5,1,4,9,8,12,13,15,20,31,27,27,32,31,21
13,"악성흑색종",0,0,1,0,2,1,2,2,4,3,9,16,14,18,21,18,11,21
14,"비흑색종피부암(기저세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"비흑색종피부암(편평세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"유방암(여성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"유방암(남성)",0,0,0,0,0,0,0,2,1,4,1,5,9,11,22,10,10,6
18,"난소암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"난소암 외 여성생식기암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"남성생식기암",2,0,0,9,17,28,43,54,27,45,132,545,1450,2258,3114,3018,1850,1018
21,"방광암",0,1,0,1,3,5,8,12,34,77,141,342,612,760,907,1023,933,766
22,"신장암, 나머지 비뇨기계암",4,1,1,0,1,3,14,33,53,99,151,240,403,368,376,395,315,198
23,"안암",6,0,0,0,0,2,1,2,0,2,0,2,1,1,1,0,1,4
24,"뇌암, 신경계암",5,13,8,5,9,9,19,21,18,21,25,34,43,46,43,56,37,29
25,"갑상선암",0,1,3,1,16,11,18,43,42,44,69,70,129,82,90,76,38,16
26,"나머지 내분비선암",11,2,3,1,5,3,2,2,2,1,4,4,4,4,5,0,3,3
27,"나머지암, 불분명한 암",6,2,5,5,9,14,26,43,46,85,111,220,391,441,618,755,769,722
28,"림프종, 다발성골수종",4,5,7,13,6,13,19,34,53,88,161,230,333,394,436,544,401,295
29,"백혈병(CLL 제외)",30,12,14,23,10,23,14,40,29,33,54,70,138,144,213,218,177,118
30,"급성림프구성백혈병",20,11,9,15,3,5,1,7,4,4,6,6,21,10,9,14,12,14
31,"급성골수성백혈병",8,2,6,8,5,15,9,31,14,20,24,30,79,77,129,124,98,67
32,"만성골수성백혈병",1,0,0,1,2,5,4,7,6,4,11,11,9,23,18,29,21,23
