"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,0,448240
2,"식도암",0,0,448240
3,"위암",0,0,448240
4,"결장암",0,0,448240
5,"직장암",0,0,448240
6,"간암",0,7,448240
7,"담낭암",0,0,448240
8,"췌장암",0,0,448240
9,"기관지암, 폐암",0,0,448240
10,"비강암, 후두암, 나머지암",0,3,448240
11,"뼈암",0,0,448240
12,"결합조직암",0,1,448240
13,"악성흑색종",0,0,448240
14,"비흑색종피부암(기저세포암)",0,0,448240
15,"비흑색종피부암(편평세포암)",0,0,448240
16,"유방암(여성)",0,0,448240
17,"유방암(남성)",0,0,448240
18,"난소암",0,0,448240
19,"난소암 외 여성생식기암",0,0,448240
20,"남성생식기암",0,0,448240
21,"방광암",0,1,448240
22,"신장암, 나머지 비뇨기계암",0,6,448240
23,"안암",0,7,448240
24,"뇌암, 신경계암",0,7,448240
25,"갑상선암",0,0,448240
26,"나머지 내분비선암",0,3,448240
27,"나머지암, 불분명한 암",0,11,448240
28,"림프종, 다발성골수종",0,1,448240
29,"백혈병(CLL 제외)",0,23,448240
30,"급성림프구성백혈병",0,10,448240
31,"급성골수성백혈병",0,11,448240
32,"만성골수성백혈병",0,0,448240
1,"구강암, 인두암",5,0,468111
2,"식도암",5,0,468111
3,"위암",5,0,468111
4,"결장암",5,0,468111
5,"직장암",5,0,468111
6,"간암",5,1,468111
7,"담낭암",5,0,468111
8,"췌장암",5,0,468111
9,"기관지암, 폐암",5,0,468111
10,"비강암, 후두암, 나머지암",5,1,468111
11,"뼈암",5,1,468111
12,"결합조직암",5,1,468111
13,"악성흑색종",5,0,468111
14,"비흑색종피부암(기저세포암)",5,0,468111
15,"비흑색종피부암(편평세포암)",5,0,468111
16,"유방암(여성)",5,0,468111
17,"유방암(남성)",5,0,468111
18,"난소암",5,3,468111
19,"난소암 외 여성생식기암",5,0,468111
20,"남성생식기암",5,0,468111
21,"방광암",5,0,468111
22,"신장암, 나머지 비뇨기계암",5,1,468111
23,"안암",5,0,468111
24,"뇌암, 신경계암",5,9,468111
25,"갑상선암",5,0,468111
26,"나머지 내분비선암",5,0,468111
27,"나머지암, 불분명한 암",5,5,468111
28,"림프종, 다발성골수종",5,7,468111
29,"백혈병(CLL 제외)",5,17,468111
30,"급성림프구성백혈병",5,13,468111
31,"급성골수성백혈병",5,4,468111
32,"만성골수성백혈병",5,1,468111
1,"구강암, 인두암",10,1,502819
2,"식도암",10,0,502819
3,"위암",10,0,502819
4,"결장암",10,0,502819
5,"직장암",10,0,502819
6,"간암",10,0,502819
7,"담낭암",10,0,502819
8,"췌장암",10,0,502819
9,"기관지암, 폐암",10,0,502819
10,"비강암, 후두암, 나머지암",10,0,502819
11,"뼈암",10,3,502819
12,"결합조직암",10,2,502819
13,"악성흑색종",10,0,502819
14,"비흑색종피부암(기저세포암)",10,0,502819
15,"비흑색종피부암(편평세포암)",10,0,502819
16,"유방암(여성)",10,0,502819
17,"유방암(남성)",10,0,502819
18,"난소암",10,7,502819
19,"난소암 외 여성생식기암",10,0,502819
20,"남성생식기암",10,0,502819
21,"방광암",10,0,502819
22,"신장암, 나머지 비뇨기계암",10,0,502819
23,"안암",10,1,502819
24,"뇌암, 신경계암",10,3,502819
25,"갑상선암",10,2,502819
26,"나머지 내분비선암",10,0,502819
27,"나머지암, 불분명한 암",10,1,502819
28,"림프종, 다발성골수종",10,3,502819
29,"백혈병(CLL 제외)",10,13,502819
30,"급성림프구성백혈병",10,12,502819
31,"급성골수성백혈병",10,3,502819
32,"만성골수성백혈병",10,0,502819
1,"구강암, 인두암",15,1,501813
2,"식도암",15,0,501813
3,"위암",15,0,501813
4,"결장암",15,1,501813
5,"직장암",15,0,501813
6,"간암",15,0,501813
7,"담낭암",15,0,501813
8,"췌장암",15,1,501813
9,"기관지암, 폐암",15,0,501813
10,"비강암, 후두암, 나머지암",15,1,501813
11,"뼈암",15,5,501813
12,"결합조직암",15,2,501813
13,"악성흑색종",15,2,501813
14,"비흑색종피부암(기저세포암)",15,0,501813
15,"비흑색종피부암(편평세포암)",15,0,501813
16,"유방암(여성)",15,1,501813
17,"유방암(남성)",15,0,501813
18,"난소암",15,16,501813
19,"난소암 외 여성생식기암",15,1,501813
20,"남성생식기암",15,0,501813
21,"방광암",15,0,501813
22,"신장암, 나머지 비뇨기계암",15,1,501813
23,"안암",15,0,501813
24,"뇌암, 신경계암",15,2,501813
25,"갑상선암",15,10,501813
26,"나머지 내분비선암",15,2,501813
27,"나머지암, 불분명한 암",15,7,501813
28,"림프종, 다발성골수종",15,7,501813
29,"백혈병(CLL 제외)",15,16,501813
30,"급성림프구성백혈병",15,9,501813
31,"급성골수성백혈병",15,7,501813
32,"만성골수성백혈병",15,1,501813
1,"구강암, 인두암",20,1,505088
2,"식도암",20,1,505088
3,"위암",20,4,505088
4,"결장암",20,3,505088
5,"직장암",20,1,505088
6,"간암",20,1,505088
7,"담낭암",20,0,505088
8,"췌장암",20,0,505088
9,"기관지암, 폐암",20,1,505088
10,"비강암, 후두암, 나머지암",20,2,505088
11,"뼈암",20,1,505088
12,"결합조직암",20,3,505088
13,"악성흑색종",20,0,505088
14,"비흑색종피부암(기저세포암)",20,0,505088
15,"비흑색종피부암(편평세포암)",20,0,505088
16,"유방암(여성)",20,9,505088
17,"유방암(남성)",20,0,505088
18,"난소암",20,16,505088
19,"난소암 외 여성생식기암",20,12,505088
20,"남성생식기암",20,0,505088
21,"방광암",20,2,505088
22,"신장암, 나머지 비뇨기계암",20,0,505088
23,"안암",20,0,505088
24,"뇌암, 신경계암",20,5,505088
25,"갑상선암",20,38,505088
