"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,2,6086498
2,"식도암",0,1,6086498
3,"위암",0,0,6086498
4,"결장암",0,0,6086498
5,"직장암",0,0,6086498
6,"간암",0,40,6086498
7,"담낭암",0,2,6086498
8,"췌장암",0,3,6086498
9,"기관지암, 폐암",0,5,6086498
10,"비강암, 후두암, 나머지암",0,24,6086498
11,"뼈암",0,13,6086498
12,"결합조직암",0,49,6086498
13,"악성흑색종",0,0,6086498
14,"비흑색종피부암(기저세포암)",0,2,6086498
15,"비흑색종피부암(편평세포암)",0,2,6086498
16,"유방암(여성)",0,0,6086498
17,"유방암(남성)",0,0,6086498
18,"난소암",0,7,6086498
19,"난소암 외 여성생식기암",0,3,6086498
20,"남성생식기암",0,0,6086498
21,"방광암",0,0,6086498
22,"신장암, 나머지 비뇨기계암",0,75,6086498
23,"안암",0,73,6086498
24,"뇌암, 신경계암",0,110,6086498
25,"갑상선암",0,1,6086498
26,"나머지 내분비선암",0,79,6086498
27,"나머지암, 불분명한 암",0,57,6086498
28,"림프종, 다발성골수종",0,48,6086498
29,"백혈병(CLL 제외)",0,315,6086498
30,"급성림프구성백혈병",0,233,6086498
31,"급성골수성백혈병",0,97,6086498
32,"만성골수성백혈병",0,7,6086498
1,"구강암, 인두암",5,10,6615614
2,"식도암",5,0,6615614
3,"위암",5,3,6615614
4,"결장암",5,1,6615614
5,"직장암",5,1,6615614
6,"간암",5,8,6615614
7,"담낭암",5,0,6615614
8,"췌장암",5,1,6615614
9,"기관지암, 폐암",5,1,6615614
10,"비강암, 후두암, 나머지암",5,5,6615614
11,"뼈암",5,34,6615614
12,"결합조직암",5,18,6615614
13,"악성흑색종",5,0,6615614
14,"비흑색종피부암(기저세포암)",5,2,6615614
15,"비흑색종피부암(편평세포암)",5,2,6615614
16,"유방암(여성)",5,0,6615614
17,"유방암(남성)",5,0,6615614
18,"난소암",5,27,6615614
19,"난소암 외 여성생식기암",5,2,6615614
20,"남성생식기암",5,0,6615614
21,"방광암",5,0,6615614
22,"신장암, 나머지 비뇨기계암",5,16,6615614
23,"안암",5,2,6615614
24,"뇌암, 신경계암",5,115,6615614
25,"갑상선암",5,11,6615614
26,"나머지 내분비선암",5,24,6615614
27,"나머지암, 불분명한 암",5,20,6615614
28,"림프종, 다발성골수종",5,51,6615614
29,"백혈병(CLL 제외)",5,195,6615614
30,"급성림프구성백혈병",5,135,6615614
31,"급성골수성백혈병",5,53,6615614
32,"만성골수성백혈병",5,5,6615614
1,"구강암, 인두암",10,4,6068561
2,"식도암",10,0,6068561
3,"위암",10,2,6068561
4,"결장암",10,7,6068561
5,"직장암",10,0,6068561
6,"간암",10,10,6068561
7,"담낭암",10,0,6068561
8,"췌장암",10,5,6068561
9,"기관지암, 폐암",10,3,6068561
10,"비강암, 후두암, 나머지암",10,3,6068561
11,"뼈암",10,75,6068561
12,"결합조직암",10,17,6068561
13,"악성흑색종",10,1,6068561
14,"비흑색종피부암(기저세포암)",10,5,6068561
15,"비흑색종피부암(편평세포암)",10,5,6068561
16,"유방암(여성)",10,1,6068561
17,"유방암(남성)",10,0,6068561
18,"난소암",10,63,6068561
19,"난소암 외 여성생식기암",10,4,6068561
20,"남성생식기암",10,0,6068561
21,"방광암",10,0,6068561
22,"신장암, 나머지 비뇨기계암",10,6,6068561
23,"안암",10,0,6068561
24,"뇌암, 신경계암",10,88,6068561
25,"갑상선암",10,47,6068561
26,"나머지 내분비선암",10,7,6068561
27,"나머지암, 불분명한 암",10,29,6068561
28,"림프종, 다발성골수종",10,43,6068561
29,"백혈병(CLL 제외)",10,142,6068561
30,"급성림프구성백혈병",10,84,6068561
31,"급성골수성백혈병",10,49,6068561
32,"만성골수성백혈병",10,6,6068561
1,"구강암, 인두암",15,27,7188502
2,"식도암",15,1,7188502
3,"위암",15,24,7188502
4,"결장암",15,14,7188502
5,"직장암",15,4,7188502
6,"간암",15,8,7188502
7,"담낭암",15,0,7188502
8,"췌장암",15,6,7188502
9,"기관지암, 폐암",15,13,7188502
10,"비강암, 후두암, 나머지암",15,18,7188502
11,"뼈암",15,69,7188502
12,"결합조직암",15,44,7188502
13,"악성흑색종",15,4,7188502
14,"비흑색종피부암(기저세포암)",15,4,7188502
15,"비흑색종피부암(편평세포암)",15,4,7188502
16,"유방암(여성)",15,15,7188502
17,"유방암(남성)",15,0,7188502
18,"난소암",15,162,7188502
19,"난소암 외 여성생식기암",15,22,7188502
20,"남성생식기암",15,0,7188502
21,"방광암",15,1,7188502
22,"신장암, 나머지 비뇨기계암",15,3,7188502
23,"안암",15,1,7188502
24,"뇌암, 신경계암",15,73,7188502
25,"갑상선암",15,190,7188502
26,"나머지 내분비선암",15,9,7188502
27,"나머지암, 불분명한 암",15,37,7188502
28,"림프종, 다발성골수종",15,68,7188502
29,"백혈병(CLL 제외)",15,164,7188502
30,"급성림프구성백혈병",15,79,7188502
31,"급성골수성백혈병",15,77,7188502
32,"만성골수성백혈병",15,9,7188502
1,"구강암, 인두암",20,53,7729156
2,"식도암",20,0,7729156
3,"위암",20,122,7729156
4,"결장암",20,36,7729156
5,"직장암",20,19,7729156
6,"간암",20,26,7729156
7,"담낭암",20,4,7729156
8,"췌장암",20,8,7729156
9,"기관지암, 폐암",20,35,7729156
10,"비강암, 후두암, 나머지암",20,11,7729156
11,"뼈암",20,48,7729156
12,"결합조직암",20,52,7729156
13,"악성흑색종",20,7,7729156
14,"비흑색종피부암(기저세포암)",20,19,7729156
15,"비흑색종피부암(편평세포암)",20,19,7729156
16,"유방암(여성)",20,87,7729156
17,"유방암(남성)",20,0,7729156
18,"난소암",20,198,7729156
19,"난소암 외 여성생식기암",20,93,7729156
20,"남성생식기암",20,0,7729156
21,"방광암",20,9,7729156
22,"신장암, 나머지 비뇨기계암",20,13,7729156
23,"안암",20,5,7729156
24,"뇌암, 신경계암",20,78,7729156
